FALSE,GenreID,ArtistID,ArtistName,TrackID,Title,ShareLink,Duration,Rank,ExplicitLyrics,ExplicitContentLyrics,ExplicitContentCover,Preview,BPM,Gain,ImageLink,danceability,track_genre
FALSE,116,4344192,Gunna,635327252,3 Headed Snake (feat. Young Thug),https://www.deezer.com/track/635327252?utm_source=deezer&utm_content=track-635327252&utm_term=0_1702975250&utm_medium=web,241,390902,TRUE,1,2,https://cdns-preview-b.dzcdn.net/stream/c-b6fbaccd6acd93b4a74ebe7a13833b43-5.mp3,135.11,-11.6,https://e-cdns-images.dzcdn.net/images/artist/f6ae30d19f7e865c79b070de2087bd96/250x250-000000-80-0-0.jpg,0.609,alt-rock
FALSE,116,4344192,Gunna,563085262,Off White VLONE,https://www.deezer.com/track/563085262?utm_source=deezer&utm_content=track-563085262&utm_term=0_1702975250&utm_medium=web,187,443013,TRUE,1,0,https://cdns-preview-0.dzcdn.net/stream/c-03cb62a4f230e618aa2d6326a2a234c9-5.mp3,141.1,-9.3,https://e-cdns-images.dzcdn.net/images/artist/52b6dcb22b38f051680d8ca20901537c/250x250-000000-80-0-0.jpg,0.373,alt-rock
FALSE,116,4344192,Gunna,1617408892,25k jacket (feat. Lil Baby),https://www.deezer.com/track/1617408892?utm_source=deezer&utm_content=track-1617408892&utm_term=0_1702975251&utm_medium=web,120,162974,FALSE,3,2,https://cdns-preview-3.dzcdn.net/stream/c-350b5c2aa5c7292716b2ccb8edd22211-3.mp3,0,-10.6,https://e-cdns-images.dzcdn.net/images/artist/f6ae30d19f7e865c79b070de2087bd96/250x250-000000-80-0-0.jpg,0.571,alt-rock
FALSE,116,4344192,Gunna,2329875125,idk nomore,https://www.deezer.com/track/2329875125?utm_source=deezer&utm_content=track-2329875125&utm_term=0_1702975251&utm_medium=web,179,415809,TRUE,1,2,https://cdns-preview-d.dzcdn.net/stream/c-db7e9fd5b50f7482be55864aad6b9bc2-2.mp3,0,-9.5,https://e-cdns-images.dzcdn.net/images/artist/f6ae30d19f7e865c79b070de2087bd96/250x250-000000-80-0-0.jpg,0.609,alt-rock
FALSE,116,4344192,Gunna,885701672,Heatin Up,https://www.deezer.com/track/885701672?utm_source=deezer&utm_content=track-885701672&utm_term=0_1702975252&utm_medium=web,177,402659,TRUE,1,0,https://cdns-preview-8.dzcdn.net/stream/c-84ec2c9551c903ee543a5a71ae7cb706-6.mp3,0,-11.3,https://e-cdns-images.dzcdn.net/images/artist/52b6dcb22b38f051680d8ca20901537c/250x250-000000-80-0-0.jpg,0.571,alt-rock
FALSE,116,4344192,Gunna,563085272,Business Is Business,https://www.deezer.com/track/563085272?utm_source=deezer&utm_content=track-563085272&utm_term=0_1702975252&utm_medium=web,162,430797,TRUE,1,0,https://cdns-preview-3.dzcdn.net/stream/c-332ca36debd8a836fb7bc143a258f98c-5.mp3,142.07,-9,https://e-cdns-images.dzcdn.net/images/artist/52b6dcb22b38f051680d8ca20901537c/250x250-000000-80-0-0.jpg,0.609,alt-rock
FALSE,116,60253,Ian,2389680705,Roma,https://www.deezer.com/track/2389680705?utm_source=deezer&utm_content=track-2389680705&utm_term=0_1702975253&utm_medium=web,143,256823,FALSE,0,2,https://cdns-preview-c.dzcdn.net/stream/c-cd88e4933c410ba9e7a68fb586c53af5-2.mp3,0,-8.6,https://e-cdns-images.dzcdn.net/images/artist/84a74a1ec8979167c6f3dfd106482989/250x250-000000-80-0-0.jpg,0.596,alt-rock
FALSE,116,60253,Ian,1611099812,Oare,https://www.deezer.com/track/1611099812?utm_source=deezer&utm_content=track-1611099812&utm_term=0_1702975253&utm_medium=web,177,221099,TRUE,1,2,https://cdns-preview-e.dzcdn.net/stream/c-e09be2e078c9dde7d4f7ba84e0f2c772-2.mp3,0,-10.3,https://e-cdns-images.dzcdn.net/images/artist/11029ca3d7f27f9c31f18a5c9ab94cec/250x250-000000-80-0-0.jpg,0.609,alt-rock
FALSE,116,60253,Ian,2569387712,Ghinion,https://www.deezer.com/track/2569387712?utm_source=deezer&utm_content=track-2569387712&utm_term=0_1702975254&utm_medium=web,265,143226,TRUE,1,2,https://cdns-preview-c.dzcdn.net/stream/c-ce0368304d5faac08b3373612b8fa874-1.mp3,0,-8.9,https://e-cdns-images.dzcdn.net/images/artist/11029ca3d7f27f9c31f18a5c9ab94cec/250x250-000000-80-0-0.jpg,0.611,alt-rock
FALSE,116,60253,Ian,1911141637,Sangele Frate Nu Te Face,https://www.deezer.com/track/1911141637?utm_source=deezer&utm_content=track-1911141637&utm_term=0_1702975254&utm_medium=web,178,113913,FALSE,0,2,https://cdns-preview-1.dzcdn.net/stream/c-1244f54efbe254c20ed3350e4c0f8a91-2.mp3,0,-6.9,https://e-cdns-images.dzcdn.net/images/artist/174bb37fbdceb2b9e0e5958b5ea94703/250x250-000000-80-0-0.jpg,0.596,alt-rock
